10/21/2019
ClinoTestDesorb5_10/21/2019
ZZ
Time (d:h:m:s)	NDIR Concentration (ppm)	Temperature (C)	N2 MFC Flowrate (sccm)	NH3 MFC Flowrate (sccm)	294:09:27:02	155.931	25.222	0.100	0.400
294:09:29:01	116.947	25.060	0.100	0.400
294:09:29:02	116.947	25.070	0.100	0.400
294:09:29:03	116.947	25.070	0.100	0.400
294:09:29:04	116.947	25.070	0.100	0.400
294:09:29:05	116.947	25.063	0.100	0.400
294:09:29:06	116.947	25.067	0.100	0.400
294:09:29:07	116.947	25.063	0.100	0.400
294:09:29:09	116.947	25.063	0.100	0.400
294:09:29:10	116.947	25.063	0.100	0.400
294:09:29:11	116.947	25.067	0.100	0.400
294:09:29:12	116.947	25.063	0.100	0.400
294:09:29:13	116.947	25.063	0.100	0.400
294:09:29:14	116.947	25.057	0.100	0.400
294:09:29:15	116.947	25.053	0.100	0.400
294:09:29:16	116.947	25.053	0.100	0.400
294:09:29:17	116.947	25.046	0.100	0.400
294:09:29:18	116.947	25.050	0.100	0.400
294:09:29:19	116.947	25.043	0.100	0.400
294:09:29:20	116.947	25.036	0.100	0.400
294:09:29:21	116.947	25.032	0.100	0.400
294:09:29:22	116.947	25.032	0.100	0.400
294:09:29:23	116.947	25.025	0.100	0.400
294:09:29:25	116.947	25.032	0.100	0.400
294:09:29:26	116.947	25.022	0.100	0.400
294:09:29:27	116.947	25.025	0.100	0.400
294:09:29:28	116.947	25.025	0.100	0.400
294:09:29:29	116.947	25.025	0.100	0.400
294:09:29:30	116.947	25.025	0.100	0.400
294:09:29:31	116.947	25.029	0.100	0.400
294:09:29:32	116.947	25.025	0.100	0.400
294:09:29:33	116.947	25.029	0.100	0.400
294:09:29:34	116.947	25.025	0.100	0.400
294:09:29:35	116.947	25.025	0.100	0.400
294:09:29:36	116.947	25.015	0.100	0.400
294:09:29:37	116.947	25.012	0.100	0.400
294:09:29:38	116.947	25.019	0.100	0.400
294:09:29:39	116.947	25.022	0.100	0.400
294:09:29:41	97.455	25.025	0.100	0.400
294:09:29:42	116.947	25.022	0.100	0.400
294:09:29:43	116.947	25.022	0.100	0.400
294:09:29:44	116.947	25.019	0.100	0.400
294:09:29:45	116.947	25.019	0.100	0.400
294:09:29:46	116.947	25.022	0.100	0.400
294:09:29:47	116.947	25.029	0.100	0.400
294:09:29:48	97.455	25.032	0.100	0.400
294:09:29:49	116.947	25.022	0.100	0.400
294:09:29:50	116.947	25.043	0.100	0.400
294:09:29:51	116.947	25.043	0.100	0.400
294:09:29:52	116.947	25.057	0.100	0.400
294:09:29:53	116.947	25.063	0.100	0.400
294:09:29:54	116.947	25.067	0.100	0.400
