10/16/2019
ClinoTestdesorb1_10/16/2019
HopeWikoff
Time (d:h:m:s)	NDIR Concentration (ppm)	Temperature (C)	N2 MFC Flowrate (sccm)	NH3 MFC Flowrate (sccm)	
